year,month,yes,no
2008,jan,122,445
2008,feb,206,587
2008,mar,313,732
2008,apr,275,551
2008,may,339,780
2008,jun,219,770
2008,jul,423,817
2008,aug,584,1010
2008,sep,200,817
2008,oct,302,749
2008,nov,191,431
2008,dec,223,698
