year,month,yes,no
2011,jan,219,419
2011,feb,358,549
2011,mar,279,587
2011,apr,447,763
2011,may,303,790
2011,jun,309,970
2011,jul,539,1054
2011,aug,429,1037
2011,sep,287,848
2011,oct,410,861
2011,nov,219,423
2011,dec,394,868
