year,month,yes,no
2010,jan,115,474
2010,feb,230,480
2010,mar,280,687
2010,apr,408,888
2010,may,287,703
2010,jun,264,852
2010,jul,506,761
2010,aug,373,753
2010,sep,348,822
2010,oct,364,753
2010,nov,215,551
2010,dec,253,727
