"Activities undertaken"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2536","1280","1256","315","620","423","487","372","319","1709","827","621","1915","2157","379","1041","761","359","375","1721","213","651",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","154.3","71.4","82.9","30.5","28.2","23.5","28.2","21.9","21.9","98.3","55.9","38.3","116","128","26.3","51.7","51.3","29.6","21.6","100.8","17.1","39.3",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visiting friends or family for leisure","53.9","22.1","31.9","11.5","9.8","7.7","8.7","7.1","9.2","33.7","20.3","11.5","42.4","43.6","10.3","17.3","18.4","9.8","8.4","32.2","7.3","15.6",
"","35%","30.9%","38.5%","37.6%","34.8%","32.5%","30.9%","32.5%","41.9%","34.2%","36.3%","30.2%","36.5%","34.1%","39.2%","33.5%","35.8%","33.1%","39.1%","31.9%","42.9%","39.8%",""

"'Special' shopping for items that you do not regularly buy","13.3","5.6","7.8","2.5","2","2.3","3.4","2.2","1","9.7","3.6","4.7","8.7","11.4","1.9","5","3.3","3.1","2","9.8","1.1","2.6",
"","8.6%","7.8%","9.4%","8.2%","7%","10%","11.9%","10%","4.4%","9.9%","6.4%","12.2%","7.5%","8.9%","7.4%","9.7%","6.3%","10.4%","9%","9.8%","6.4%","6.7%",""

"Going out for a meal","39.2","15.3","23.8","5.3","5.7","4.8","8.6","5.8","8.9","27.5","11.7","7.9","31.3","34.6","4.6","13.9","11.4","7.3","6.5","23.2","3.3","13.1",
"","25.4%","21.5%","28.7%","17.5%","20.2%","20.3%","30.6%","26.6%","40.5%","28%","20.8%","20.7%","26.9%","27%","17.5%","26.9%","22.2%","24.7%","30.3%","23%","19.3%","33.3%",""

"Going on a night out to a bar, pub and/or club","24.1","12.9","11.2","6.1","5.8","3","5.7","1.8","1.7","14.4","9.8","5.8","18.3","19.1","5","8","7.8","4.9","3.3","17","3.6","4",
"","15.6%","18.1%","13.5%","19.9%","20.7%","12.6%","20.2%","8.3%","7.7%","14.6%","17.5%","15.1%","15.8%","14.9%","19%","15.5%","15.2%","16.6%","15.5%","16.9%","20.9%","10.3%",""

"Going out for entertainment - to a cinema, concert or theatre","11.3","5","6.3","3","3","1.6","1.9","0.8","1","6.8","4.5","3.7","7.6","8.8","2.5","4","3.5","2.1","1.7","7.4","2","2",
"","7.3%","7%","7.6%","9.7%","10.5%","6.6%","6.9%","3.8%","4.8%","6.9%","8%","9.8%","6.5%","6.9%","9.5%","7.8%","6.8%","7%","8%","7.4%","11.8%","5.2%",""

"Undertaking outdoor leisure activities such as walking, cycling, golf, etc.","25.8","14.1","11.8","3","3.2","4.7","5.6","5.5","3.9","18.3","7.5","5.4","20.4","23.6","2.2","12","6.1","3.9","3.8","17","1.6","7.5",
"","16.7%","19.7%","14.2%","9.8%","11.4%","19.9%","19.8%","25%","17.7%","18.6%","13.4%","14.2%","17.6%","18.5%","8.4%","23.1%","11.9%","13.3%","17.8%","16.9%","9.5%","19%",""

"Taking part in other leisure activities such as hobbies, evening classes, etc (outside of your home)","8.1","4.7","3.5","2.9","1.7","0.7","0.9","0.7","1.2","2.9","5.3","1.4","6.7","5.6","2.5","2.3","2.5","1.8","1.6","5.2","1.3","1.9",
"","5.3%","6.5%","4.2%","9.7%","6%","3%","3.2%","3.1%","5.5%","2.9%","9.4%","3.8%","5.8%","4.4%","9.5%","4.4%","4.9%","6%","7.3%","5.2%","7.5%","4.8%",""

"Taking part in sports, including events or competitions","6.3","4.2","2.2","1.2","1.4","1.6","0.8","0.5","0.8","4","2.3","2.2","4.1","5.9","0.4","2.7","1.6","1","1","4.4","0.5","1.6",
"","4.1%","5.8%","2.6%","3.9%","5%","6.9%","2.8%","2.4%","3.7%","4.1%","4.1%","5.8%","3.5%","4.6%","1.5%","5.2%","3.1%","3.4%","4.7%","4.4%","2.7%","4%",""

"Watching live sporting events (not on TV)","8.2","6","2.2","1.5","1.7","1.3","1.9","1.2","0.6","5.3","3","2.3","6","7.6","0.6","2.5","2.9","1.5","1.3","5.9","0.7","1.7",
"","5.3%","8.5%","2.7%","4.9%","6.1%","5.5%","6.7%","5.5%","3%","5.3%","5.3%","5.9%","5.1%","5.9%","2.4%","4.8%","5.7%","5.1%","6.1%","5.9%","3.9%","4.4%",""

"Going to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","11.1","4.9","6.2","1.9","2.4","2.1","2.3","1.5","0.8","7.7","3.3","3","8.1","9","2.1","4.4","3.3","2.4","1","7.8","1.1","2.5",
"","7.2%","6.9%","7.5%","6.2%","8.6%","9.1%","8%","7%","3.9%","7.9%","6%","7.9%","7%","7%","7.9%","8.5%","6.5%","8.2%","4.4%","7.8%","6.2%","6.5%",""

"Going to special public event such as a festival, exhibition, etc.","6.7","2.6","4.1","1.7","1.2","0.9","1.4","0.7","0.8","4","2.8","1.4","5.4","5.4","1.3","2","2.1","1.7","0.9","4.3","0.6","2",
