"Activities undertaken"
"Base : All respondents"

"All Scotland"
"","","Sex",,"Age",,,,,,"MARITAL STATUS",,"CHILDREN IN HOUSEHOLD",,"CAR IN HOUSEHOLD",,"SOCIAL CLASS OF HOUSEHOLD",,,,"WORKING STATUS",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not married","Yes","No","Yes","No","AB","C1","C2","DE","Employed full or part time","In full or part time education","Unemployed/not working",
"Unweighted base","2403","1082","1321","226","511","394","492","417","363","1560","843","650","1753","1978","425","851","730","381","441","1385","174","887",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Weighted base","142.5","66.1","76.4","24.9","24.3","20.3","24.8","21.3","26.8","86.8","55.7","36.2","106.3","115","27.5","44.7","46","26.8","25","78.3","14.9","53.1",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visiting friends or family for leisure","47.2","19","28.2","7.3","8.6","5.8","8","8.1","9.3","28.7","18.5","10.8","36.4","36.7","10.5","14","14.8","8.8","9.6","24.6","4.4","19",
"","33.1%","28.8%","36.9%","29.3%","35.5%","28.7%","32.4%","37.9%","34.8%","33%","33.3%","29.9%","34.2%","31.9%","38.2%","31.4%","32.1%","33%","38.3%","31.5%","29.8%","35.8%",""

"'Special' shopping for items that you do not regularly buy","17.3","7.1","10.2","2.7","2.8","2.6","3.1","3.3","2.8","11.6","5.8","4.7","12.7","13.8","3.5","5.6","5.8","3.4","2.5","9","0.9","7.5",
"","12.2%","10.8%","13.3%","10.7%","11.7%","12.9%","12.6%","15.4%","10.3%","13.3%","10.4%","12.9%","11.9%","12%","12.8%","12.6%","12.7%","12.7%","9.9%","11.5%","5.9%","14.1%",""

"Going out for a meal","33.6","14.4","19.2","5.7","5.4","4.2","5","5.1","8.2","20.5","13.1","6.1","27.5","27.6","6.1","12.4","10.3","5.5","5.4","17.3","4","13.4",
"","23.6%","21.8%","25.2%","22.8%","22.3%","20.7%","20.2%","23.8%","30.7%","23.6%","23.6%","16.8%","25.9%","24%","22.1%","27.7%","22.4%","20.7%","21.8%","22.1%","27%","25.3%",""

"Going on a night out to a bar, pub and/or club","20.5","13.1","7.4","4.9","4.5","3.7","3.2","1.4","2.8","11.9","8.6","5.2","15.3","16.2","4.3","6","7.1","4.3","3.1","13.9","2.8","4.8",
"","14.4%","19.8%","9.7%","19.6%","18.5%","18.4%","12.9%","6.3%","10.6%","13.7%","15.4%","14.3%","14.4%","14.1%","15.6%","13.4%","15.5%","15.9%","12.3%","17.8%","19.1%","9%",""

