"Activities undertaken"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2419","1263","1156","226","447","307","378","468","593","1533","886","627","1792","2081","338","956","657","428","378","1324","162","195",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","137.8","67.8","69.9","27.5","29.6","17.6","17.4","23.0","22.8","79.1","58.7","40.7","97.1","114.5","23.3","45.0","39.7","29.3","23.7","77.2","14.8","15.2",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Activities undertaken","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visited friends or family for leisure","45.1","21.6","23.4","8.2","11.0","5.7","5.7","6.8","7.7","24.8","20.3","13.8","31.2","37.1","8.0","14.4","12.7","8.6","9.4","25.3","4.5","6.1",
"","32.7%","31.9%","33.5%","29.7%","37.1%","32.5%","32.5%","29.8%","33.9%","31.4%","34.5%","34.0%","32.1%","32.4%","34.2%","31.9%","32.0%","29.3%","39.5%","32.8%","30.2%","40.4%",""

"'Special' shopping for items that you do not regularly buy","17.6","7.1","10.5","3.0","4.1","1.9","2.2","3.5","2.8","11.0","6.6","6.3","11.2","15.1","2.5","6.5","4.4","3.2","3.5","9.9","1.2","2.3",
"","12.8%","10.5%","15.0%","10.9%","13.9%","11.0%","12.7%","15.2%","12.4%","13.9%","11.2%","15.6%","11.6%","13.2%","10.8%","14.3%","11.1%","11.1%","14.6%","12.8%","8.0%","15.3%",""

"Went out for a meal","37.5","16.0","21.5","6.5","7.9","3.5","5.1","7.8","6.6","23.5","13.9","11.3","26.2","32.6","4.9","13.8","11.9","6.2","5.5","20.8","3.7","3.4",
"","27.2%","23.6%","30.7%","23.7%","26.9%","19.8%","29.2%","34.0%","29.0%","29.8%","23.7%","27.7%","27.0%","28.5%","20.9%","30.7%","29.9%","21.3%","23.3%","26.9%","24.8%","22.4%",""

"Went on a night out to a bar, pub and/or club","18.7","11.7","7.0","4.1","4.7","1.8","2.3","3.3","2.5","10.7","8.0","5.5","13.2","15.6","3.2","6.5","6.4","3.5","2.2","11.9","2.3","0.9",
"","13.6%","17.3%","10.0%","15.1%","15.8%","10.4%","13.3%","14.2%","11.1%","13.6%","13.6%","13.5%","13.6%","13.6%","13.6%","14.5%","16.2%","12.1%","9.5%","15.5%","15.8%","6.1%",""

"Went out for entertainment – to a cinema, concert or theatre","13.3","7.3","6.0","2.2","3.7","1.6","2.4","1.9","1.6","7.9","5.4","4.9","8.4","11.0","2.3","4.4","4.2","2.2","2.5","8.2","0.7","1.9",
"","9.7%","10.7%","8.6%","7.9%","12.4%","9.2%","13.9%","8.2%","6.9%","10.0%","9.2%","12.0%","8.7%","9.6%","9.8%","9.7%","10.5%","7.6%","10.6%","10.6%","5.0%","12.3%",""

"Undertook outdoor leisure activities such as walking, cycling, golf, etc.","25.3","11.6","13.7","4.0","4.4","3.8","4.8","4.6","3.7","15.5","9.8","7.5","17.8","21.2","4.1","10.1","7.2","4.4","3.7","15.1","2.7","2.6",
"","18.4%","17.2%","19.6%","14.7%","14.8%","21.5%","27.6%","20.1%","16.3%","19.7%","16.7%","18.4%","18.4%","18.6%","17.5%","22.4%","18.1%","15.0%","15.5%","19.6%","18.3%","17.4%",""

"Took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)","8.9","4.8","4.1","2.4","3.4","1.2","0.7","0.5","0.7","3.3","5.6","3.0","5.9","7.6","1.3","2.8","2.5","2.3","1.3","4.0","1.5","2.0",
"","6.4%","7.1%","5.8%","8.7%","11.4%","6.6%","4.2%","2.4%","2.9%","4.2%","9.5%","7.3%","6.1%","6.6%","5.6%","6.1%","6.2%","7.9%","5.6%","5.2%","10.5%","13.1%",""

"Took part in sports, including exercise classes, going to the gym","8.6","5.7","2.9","3.0","3.0","1.1","0.6","0.4","0.5","5.4","3.3","3.7","4.9","7.6","1.0","3.6","2.1","1.8","1.2","5.8","1.7","0.5",
"","6.3%","8.5%","4.2%","10.9%","10.3%","6.2%","3.3%","1.8%","2.3%","6.8%","5.6%","9.1%","5.1%","6.7%","4.4%","8.0%","5.2%","6.0%","5.1%","7.5%","11.3%","3.5%",""

"Watched live sporting event (not on TV)","11.2","7.3","4.0","1.4","3.4","2.3","1.4","1.4","1.3","7.3","3.9","5.2","6.0","9.5","1.7","3.0","2.9","2.8","2.6","7.3","0.6","1.6",
"","8.2%","10.7%","5.7%","5.1%","11.5%","13.1%","7.9%","6.2%","5.8%","9.3%","6.7%","12.8%","6.2%","8.3%","7.2%","6.7%","7.2%","9.4%","10.9%","9.4%","4.1%","10.8%",""

"Went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","13.7","6.0","7.7","2.6","4.1","1.9","1.8","1.6","1.5","8.7","5.0","5.8","7.9","11.4","2.3","4.6","4.6","2.9","1.7","8.5","1.9","1.7",
"","9.9%","8.8%","11.0%","9.5%","14.0%","11.0%","10.6%","7.2%","6.7%","11.0%","8.5%","14.3%","8.1%","10.0%","9.8%","10.1%","11.5%","9.9%","7.0%","11.0%","13.1%","11.0%",""

"Went to a special public event such as a festival, exhibition, etc.","6.6","2.8","3.8","1.3","1.1","1.2","1.3","0.9","0.8","4.1","2.6","1.9","4.8","5.6","1.0","1.9","2.3","1.7","0.7","4.1","0.4","1.0",
"","4.8%","4.2%","5.4%","4.9%","3.8%","6.9%","7.2%","3.8%","3.7%","5.2%","4.4%","4.6%","4.9%","4.9%","4.4%","4.3%","5.7%","5.9%","3.0%","5.3%","2.8%","6.4%",""

"Went to a special event of a personal nature such as a wedding, graduation, christening, etc.","4.9","2.1","2.7","1.3","1.4","0.6","0.4","0.7","0.5","2.5","2.4","1.4","3.4","4.1","0.8","1.8","1.1","1.1","0.9","2.9","0.9","0.3",
"","3.5%","3.1%","3.9%","4.6%","4.8%","3.3%","2.4%","3.1%","2.1%","3.2%","4.0%","3.6%","3.5%","3.6%","3.3%","4.1%","2.7%","3.6%","3.7%","3.8%","5.8%","2.2%",""

"Went on days out to a beauty/health centre/spa, etc.","2.6","0.4","2.1","0.6","1.2","0.2","-","0.3","0.2","1.8","0.7","1.3","1.3","2.3","0.3","1.2","0.5","0.5","0.4","1.6","0.5","0.1",
"","1.9%","0.6%","3.1%","2.3%","3.9%","1.2%","0.2%","1.5%","0.8%","2.3%","1.2%","3.1%","1.4%","2.0%","1.1%","2.7%","1.2%","1.8%","1.6%","2.0%","3.6%","0.5%",""

"Went on general days out/ to explore an area","25.3","11.7","13.6","5.9","5.1","3.4","3.3","4.3","3.2","14.5","10.8","7.6","17.7","20.5","4.8","8.0","8.1","5.8","3.3","14.4","3.5","3.0",
"","18.4%","17.3%","19.4%","21.6%","17.3%","19.5%","19.0%","18.9%","14.0%","18.3%","18.4%","18.8%","18.2%","17.9%","20.7%","17.8%","20.4%","19.9%","14.1%","18.6%","23.7%","19.7%",""

