"Activities undertaken"
"Base: All respondents"

"All Scotland"
""," ","Gender",,"Age",,,,,,"Marital Status",,"Children in household",,"Car in household",,"Social Grade",,,,"Working Status",,,
"","Total","Male","Female","16-24","25-34","35-44","45-54","55-64","65+","Married","Not Married","Yes","No","Access to car (1+)","No access to car (0)","AB","C1","C2","DE","Employed/self-employed (full or part time)","In full or part time education","Unemployed/not working",
" ","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Unweighted Base","2470","1197","1273","179","444","373","411","529","534","1573","897","674","1796","2081","389","850","656","426","538","1400","138","254",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Total","133.6","62.2","71.4","24.5","24.9","19.7","17.4","23.3","23.9","78.0","55.6","42.9","90.8","110.4","23.3","36.1","35.9","27.1","34.5","74.4","13.6","16.7",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Activities undertaken","","","","","","","","","","","","","","","","","","","","","","",
"","","","","","","","","","","","","","","","","","","","","","","",""

"Visited friends or family for leisure","48.7","19.8","28.9","9.3","9.5","5.1","6.0","8.7","10.1","27.0","21.7","15.0","33.7","40.4","8.3","10.4","13.1","10.6","14.6","24.6","3.8","8.1",
"","36.4%","31.8%","40.5%","38.1%","38.2%","25.7%","34.7%","37.2%","42.2%","34.6%","39.0%","34.9%","37.2%","36.6%","35.6%","28.9%","36.4%","39.1%","42.3%","33.1%","28.3%","48.3%",""

"'Special' shopping for items that you do not regularly buy","19.7","6.6","13.1","2.3","3.5","3.7","2.7","4.2","3.3","12.6","7.1","6.4","13.2","16.7","3.0","5.1","5.0","4.9","4.6","11.6","1.9","2.4",
"","14.7%","10.6%","18.3%","9.2%","14.1%","18.7%","15.8%","18.1%","13.6%","16.2%","12.7%","15.0%","14.6%","15.1%","13.0%","14.2%","13.9%","18.2%","13.4%","15.6%","13.7%","14.2%",""

"Went out for a meal","33.2","13.5","19.7","5.0","4.5","4.3","5.2","6.7","7.5","18.8","14.4","7.9","25.3","27.3","5.9","11.1","8.7","6.9","6.5","18.4","2.9","2.9",
"","24.9%","21.7%","27.6%","20.4%","18.1%","21.8%","30.2%","28.7%","31.4%","24.1%","25.9%","18.4%","27.9%","24.7%","25.5%","30.8%","24.2%","25.6%","18.9%","24.7%","21.0%","17.6%",""

"Went on a night out to a bar, pub and/or club","17.8","9.3","8.5","3.3","3.6","2.8","2.4","3.1","2.7","9.4","8.4","5.0","12.8","14.4","3.4","5.1","4.2","4.5","4.0","11.2","1.7","1.7",
"","13.3%","14.9%","12.0%","13.3%","14.5%","14.3%","13.6%","13.2%","11.3%","12.1%","15.1%","11.6%","14.1%","13.1%","14.7%","14.2%","11.7%","16.5%","11.7%","15.1%","12.5%","9.9%",""

"Went out for entertainment – to a cinema, concert or theatre","12.7","6.6","6.2","2.2","2.8","3.2","1.5","2.2","0.9","7.0","5.7","4.4","8.3","11.0","1.8","2.7","3.1","3.2","3.7","8.6","1.4","1.5",
"","9.5%","10.6%","8.6%","8.8%","11.2%","16.2%","8.5%","9.4%","3.8%","9.0%","10.3%","10.3%","9.2%","9.9%","7.6%","7.5%","8.7%","11.7%","10.8%","11.5%","10.3%","8.7%",""

"Undertook outdoor leisure activities such as walking, cycling, golf, etc.","29.9","13.8","16.2","4.8","5.5","3.7","4.4","4.4","7.0","16.5","13.4","8.3","21.6","23.3","6.6","7.2","8.3","5.9","8.5","15.1","3.5","4.0",
"","22.4%","22.1%","22.6%","19.6%","22.3%","19.0%","25.1%","19.1%","29.4%","21.2%","24.1%","19.4%","23.8%","21.1%","28.6%","19.9%","23.1%","21.9%","24.7%","20.3%","25.7%","24.2%",""

"Took part in other leisure activities such as hobbies, evening classes, etc. (outside of your home)","10.7","4.9","5.7","2.7","3.3","1.6","1.3","0.7","0.9","5.1","5.6","4.9","5.8","7.5","3.2","3.6","2.7","2.3","2.0","7.0","1.5","1.7",
"","8.0%","7.9%","8.1%","11.2%","13.3%","8.3%","7.7%","3.1%","3.9%","6.5%","10.1%","11.5%","6.3%","6.8%","13.8%","10.0%","7.6%","8.5%","5.9%","9.5%","11.2%","9.9%",""

"Took part in sports, including exercise classes, going to the gym","7.4","4.2","3.2","1.8","1.9","1.6","0.8","0.5","0.7","4.4","3.0","2.9","4.5","6.3","1.0","3.2","1.9","0.8","1.6","5.2","0.6","0.8",
"","5.5%","6.8%","4.4%","7.2%","7.8%","8.4%","4.4%","2.2%","3.1%","5.7%","5.3%","6.7%","5.0%","5.7%","4.5%","8.7%","5.2%","3.0%","4.5%","7.0%","4.4%","4.7%",""

"Watched live sporting event (not on TV)","12.6","9.1","3.4","1.6","3.5","2.1","1.3","1.5","2.4","7.4","5.1","4.3","8.2","10.0","2.6","3.7","3.0","2.4","3.6","8.2","1.1","1.3",
"","9.4%","14.7%","4.8%","6.6%","14.1%","10.9%","7.7%","6.6%","10.1%","9.6%","9.2%","10.1%","9.1%","9.0%","11.2%","10.1%","8.2%","8.8%","10.4%","11.0%","7.9%","7.9%",""

"Went to visitor attractions such as a historic house, garden, theme park, museum, zoo, etc.","13.1","6.5","6.5","2.6","3.1","2.4","1.2","1.9","1.9","8.4","4.7","5.9","7.1","10.8","2.3","3.4","4.0","2.2","3.4","8.6","1.2","1.0",
"","9.8%","10.5%","9.1%","10.6%","12.6%","12.1%","7.1%","8.0%","7.8%","10.8%","8.4%","13.9%","7.8%","9.8%","9.7%","9.5%","11.3%","7.9%","10.0%","11.6%","8.5%","6.0%",""

"Went to a special public event such as a festival, exhibition, etc.","8.3","3.8","4.5","2.3","1.6","1.6","0.6","0.9","1.3","3.7","4.6","2.7","5.6","6.5","1.8","3.3","1.9","1.1","2.0","3.9","1.8","1.0",
"","6.2%","6.2%","6.3%","9.6%","6.5%","8.1%","3.6%","3.8%","5.2%","4.8%","8.3%","6.4%","6.2%","5.9%","7.7%","9.2%","5.3%","4.1%","5.8%","5.2%","13.3%","6.1%",""

"Went to a special event of a personal nature such as a wedding, graduation, christening, etc.","5.9","2.4","3.5","1.2","1.8","0.6","0.7","0.5","1.1","2.5","3.4","2.4","3.5","4.2","1.6","1.3","1.5","0.6","2.5","3.0","0.7","0.8",
"","4.4%","3.9%","4.9%","4.8%","7.1%","3.3%","3.8%","2.1%","4.7%","3.2%","6.1%","5.5%","3.9%","3.8%","7.0%","3.7%","4.1%","2.3%","7.1%","4.1%","4.9%","5.1%",""

"Went on days out to a beauty/health centre/spa, etc.","4.9","2.2","2.6","1.7","1.0","1.5","0.3","0.2","0.1","3.6","1.3","3.2","1.6","4.1","0.7","1.2","1.4","1.5","0.7","3.7","0.6","0.4",
"","3.6%","3.6%","3.7%","7.0%","4.0%","7.5%","1.9%","0.8%","0.6%","4.6%","2.3%","7.5%","1.8%","3.7%","3.1%","3.3%","3.9%","5.6%","2.2%","5.0%","4.3%","2.4%",""

"Went on general days out/ to explore an area","23.8","9.7","14.1","4.7","4.2","3.5","3.4","4.0","4.1","12.8","11.0","8.1","15.7","19.6","4.3","5.0","7.1","4.8","6.9","12.0","2.7","3.2",
